代號,名稱,收盤 ,漲跌,開盤 ,最高 ,最低,均價 ,成交股數  ,成交金額(元),成交筆數 ,最後買價,最後買量(千股),最後賣價,最後賣量(千股),發行股數 ,次日參考價 , 次日漲停價 ,次日跌停價
1432,大魯閣,"199,158",113,"2,655,822",13.25,13.45,13.25,13.25, ,0,13.25,39,13.3,1,0
1434,福懋,"1,600,127","1,000","47,183,933",29.4,29.75,29.3,29.55,+,0.05,29.5,10,29.55,14,13.37
1435,中福,"140,611",104,"3,772,593",26.5,27.1,26.5,26.75,+,0.15,26.7,11,26.8,1,0
1436,華友聯,"167,116",99,"6,351,685",37.4,38.3,37.05,38.2,+,1.1,38.15,5,38.2,6,8.32
1437,勤益控,"95,704",54,"2,199,241",23.05,23.05,22.9,22.95,+,0.05,22.95,6,23,8,15.83
1438,三地開發,"14,036",7,"162,215",11.6,11.6,11.55,11.55, ,0,11.55,3,11.6,3,24.57
1439,中和,"29,245",30,"746,747",25.5,25.6,25.4,25.6,+,0.2,25.45,2,25.65,2,58.18
1440,南紡,"1,500,677",529,"19,884,108",13.2,13.4,13.1,13.25,+,0.05,13.2,115,13.25,161,77.94
1441,大東,"45,369",72,"326,433",7.22,7.23,7.15,7.18,-,0.01,7.15,14,7.18,2,0
1442,名軒,"169,961",75,"2,934,672",17.25,17.35,17.15,17.35,+,0.15,17.25,11,17.35,3,123.93
1443,立益,"38,009",20,"422,648",11.2,11.2,11.1,11.1,+,0.05,11.05,19,11.1,3,0
1444,力麗,"3,627,732","1,213","42,169,263",11.8,11.85,11.5,11.6,-,0.1,11.55,30,11.6,27,0
1445,大宇,"822,895",248,"10,578,476",12.5,13.1,12.45,12.9,+,0.45,12.8,32,12.9,9,0
1446,宏和,"67,527",53,"1,962,719",29.8,29.8,28.5,28.65,+,0.15,28.55,1,28.65,14,358.12
1447,力鵬,"1,349,746",490,"10,588,592",7.9,7.93,7.81,7.82,-,0.01,7.82,45,7.83,148,0
1449,佳和,"151,416",146,"3,242,773",21.7,21.85,21.2,21.3,-,0.45,21.3,6,21.35,1,0
1451,年興,"123,380",111,"1,962,507",15.75,16.05,15.75,15.85,+,0.05,15.8,23,15.85,1,0
1452,宏益,"112,566",76,"1,924,614",17.2,17.2,17.05,17.05,-,0.1,17.05,26,17.1,13,31.57
1453,大將,"27,680",22,"227,860",8.22,8.26,8.2,8.23,+,0.02,8.22,1,8.23,7,0
1454,台富,"49,279",25,"402,934",8.13,8.23,8.13,8.16,-,0.05,8.16,19,8.19,4,0
1455,集盛,"1,443,649",468,"13,135,547",9.07,9.18,9,9.07,+,0.01,9.06,10,9.08,12,0
1456,怡華,"98,360",75,"1,496,387",15.4,15.5,15,15.25,-,0.05,15.1,3,15.25,4,0
1457,宜進,"1,032,820",337,"15,003,403",14.5,14.65,14.4,14.6,+,0.2,14.6,45,14.65,84,5.18
1459,聯發,"116,262",68,"935,509",7.98,8.14,7.98,7.99,-,0.04,7.99,4,8,1,0
1460,宏遠,"498,091",250,"4,097,395",8.27,8.31,8.19,8.2,-,0.07,8.2,20,8.21,1,0
1463,強盛,"115,646",70,"1,413,145",12.25,12.3,12.2,12.25,-,0.05,12.2,22,12.25,2,58.33
1464,得力,"294,844",169,"5,034,930",17.05,17.15,17,17, ,0,17,136,17.15,40,340
1465,偉全,"135,228",262,"1,670,472",12.3,12.4,12.3,12.35,+,0.05,12.3,38,12.4,15,0
