代號,名稱,收盤 ,漲跌,開盤 ,最高 ,最低,均價 ,成交股數  ,成交金額(元),成交筆數 ,最後買價,最後買量(千股),最後賣價,最後賣量(千股),發行股數 ,次日參考價 , 次日漲停價 ,次日跌停價
6233,旺玖,35.6,0,35.65,36.55,35.5,35.91,"2,638,952","94,754,601","1,486",35.55,33,35.6,18,"79,609,896",35.6,39.15,32.05
6234,高僑,22.5,0.1,22.45,22.5,22.25,22.37,"283,887","6,349,728",180,22.3,1,22.5,13,"100,386,398",22.5,24.75,20.25
6236,康呈, ---,--- ,---,---,---,8.38,0,0,0,8.22,1,9.2,5,"31,654,039",8.38,9.21,7.55
6237,驊訊,90.4,8.2,84.5,90.4,84.2,87.58,"22,222,704","1,946,184,859","13,637",90.4,13990,0,0,"79,588,871",90.4,99.4,81.4
6240,松崗,13.35,0.05,13.55,13.75,13.3,13.52,"27,000","364,950",23,13.35,3,13.4,1,"22,867,370",13.35,14.65,12.05
6241,易通展,23.3,1,23.2,23.3,22.95,23.08,"64,000","1,477,000",31,23.15,1,23.35,2,"23,717,288",23.3,25.6,21
6242,立康,37,-0.2,37.1,37.1,37,37.03,"13,000","481,400",10,37,1,37.85,1,"22,200,000",37,40.7,33.3
6244,茂迪,28.15,-0.1,28.6,28.75,28,28.29,"2,380,845","67,359,061","1,347",28.15,65,28.2,7,"355,041,875",28.15,30.95,25.35
6245,立端,65,0,65.5,65.7,65,65.32,"348,337","22,754,511",230,65,20,65.6,3,"118,004,438",65,71.5,58.5
6246,臺龍,13.35,0,13.7,13.7,13.35,13.48,"45,249","609,818",43,13.2,3,13.35,1,"30,757,145",13.35,14.65,12.05
6247,淇譽電,9.53,-0.01,9.5,9.54,9.5,9.52,"8,617","82,025",30,9.29,1,9.54,1,"60,321,000",9.53,10.45,8.58
6248,沛波,24.7,0.05,25,25.2,24.3,24.68,"157,001","3,874,224",48,24.7,3,24.75,3,"30,675,184",24.7,27.15,22.25
6259,百徽,15,-0.15,15.1,15.35,14.7,15.02,"25,011","375,702",30,14.85,3,15,4,"15,507,206",15,16.5,13.5
6261,久元,61.3,0.8,60.8,61.7,60.8,61.24,"477,624","29,249,592",360,61.3,24,61.5,3,"128,497,989",61.3,67.4,55.2
6263,普萊德,62.4,0.2,62.3,62.5,62.2,62.32,"48,035","2,993,318",48,62.3,6,62.5,2,"62,500,964",62.4,68.6,56.2
6264,富裔,6.87,0.2,6.74,6.87,6.54,6.65,"256,371","1,704,159",86,6.55,5,6.87,14,"116,355,291",6.87,7.55,6.19
6265,方土昶,7.44,0.15,7.3,7.44,7.28,7.35,"390,683","2,872,710",142,7.41,1,7.44,20,"118,172,151",7.44,8.18,6.7
6266,泰詠,19.15,0,19,19.15,19,19.11,"92,364","1,764,685",50,19.1,6,19.15,17,"98,946,203",19.15,21.05,17.25
6270,倍微,19.2,0.2,19.1,19.3,19,19.14,"159,029","3,044,242",98,19.15,24,19.2,8,"72,145,759",19.2,21.1,17.3
6274,台燿,118,3,116,121,116,118.02,"7,330,952","865,183,458","4,016",118,133,118.5,82,"267,195,449",118,129.5,106.5
6275,元山,24.1,0.2,24,24.2,23.9,24.06,"680,009","16,360,667",327,24.1,2,24.15,14,"69,786,925",24.1,26.5,21.7
6276,安鈦克,34.1,-0.4,34.6,34.8,33.9,34.28,"175,123","6,003,082",137,34.1,2,34.35,11,"31,490,000",34.1,37.5,30.7
6279,胡連,111.5,0,112.5,112.5,111,111.67,"790,443","88,270,852",670,111.5,63,112,7,"99,654,707",111.5,122.5,100.5
6284,佳邦,70.2,-0.7,70.9,72.3,69.7,70.58,"2,262,400","159,684,368","1,591",70.2,6,70.4,1,"140,180,341",70.2,77.2,63.2
6287,元隆,5.7,0,5.8,5.85,5.7,5.81,"190,405","1,105,863",64,5.7,11,5.8,21,"438,145,590",5.7,6.27,5.13
6290,良維,51.5,-0.3,52,52,51.1,51.48,"878,380","45,222,826",629,51.5,29,51.6,5,"147,766,197",51.5,56.6,46.35
6291,沛亨,16.8,-0.05,17.3,17.3,16.05,16.39,"12,002","196,730",11,16,1,16.7,1,"27,000,000",16.8,18.45,15.15
6292,迅德,35.95,0.05,35.9,36,35.9,35.94,"34,000","1,221,950",26,35.95,2,36,5,"46,900,712",35.95,39.5,32.4
6294,智基,122.5,0,122,123,122,122.6,"10,325","1,265,877",19,122.5,1,123,13,"23,402,610",122.5,134.5,110.5
6404,通訊-KY,5.15,0,5.15,5.15,5.15,5.15,"2,012","10,359",13,5.01,1,5.14,2,"37,368,000",5.15,5.66,4.64
6411,晶焱,101,1.9,100,102.5,99.7,101.13,"1,198,813","121,235,991",823,100.5,28,101,33,"90,242,331",101,111,90.9
6417,韋僑, ---,--- ,---,---,---,74.72,0,0,0,74.3,1,75.5,1,"35,614,000",75,82.5,67.5
6418,詠昇,13.55,0.1,13.5,13.55,13.5,13.51,"7,000","94,550",5,13.35,1,13.5,2,"34,522,000",13.55,14.9,12.2
6419,京晨科,16.15,0.8,14.85,16.15,14.85,15.4,"31,315","482,190",21,15.25,21,16.2,5,"13,159,170",16.15,17.75,14.55
6425,易發,25.6,-0.6,26.2,26.2,25.5,25.75,"58,000","1,493,550",43,25.6,4,25.85,1,"43,602,000",25.6,28.15,23.05
6426,統新,98,0,98,99.9,97.1,98.82,"171,696","16,966,589",157,98,19,99,8,"38,509,000",98,107.5,88.2
6432,今展科,38.1,0.65,37.45,38.75,37.3,38.09,"1,092,693","41,623,330",645,38.1,6,38.2,3,"29,561,654",38.1,41.9,34.3
6435,大中,108.5,1,108.5,110,107,108.39,"344,637","37,355,377",319,108,4,108.5,3,"33,313,000",108.5,119,97.7
6441,廣錠,131,-4,139,143,131,137.72,"1,605,783","221,151,395","1,286",131,8,132.5,1,"38,576,776",131,144,118
6446,藥華藥,97.5,2.5,96,97.8,96,96.97,"1,157,904","112,285,251",824,97.3,2,97.5,3,"263,447,841",97.5,107,87.8
6457,紘康,100,2,99.5,103.5,98.7,100.7,"875,450","88,157,331",674,99.9,4,100,2,"29,854,792",100,110,90
6461,益得,19.7,0.1,19.3,20,19.3,19.68,"68,000","1,338,200",38,19.7,5,19.8,5,"100,725,000",19.7,21.65,17.75
6462,神盾,143,-3.5,146,146.5,142,143.56,"955,108","137,117,948",839,142.5,50,143,6,"71,375,754",143,157,129
6465,威潤,29.9,-0.05,29.95,29.95,29.4,29.75,"42,230","1,256,432",43,29.45,6,29.95,2,"32,974,301",29.9,32.85,26.95
6469,大樹,95.5,1,95,95.6,94.5,94.98,"49,551","4,706,448",78,95.3,1,95.5,2,"53,344,593",95.5,105,86
6470,宇智,50.1,-0.7,50.4,50.8,50.1,50.34,"150,017","7,551,573",119,50.1,3,50.5,1,"32,694,100",50.1,55.1,45.1
6472,保瑞,177,2,174,177.5,174,175.63,"242,311","42,557,180",298,176.5,3,177,11,"54,115,424",177,194.5,159.5
6482,弘煜科,36.55,3.3,36.55,36.55,36.55,36.55,"17,604","643,422",21,36.55,187,0,0,"17,148,440",36.55,40.2,32.9
6485,點序,61.4,5.5,54.8,61.4,54.4,59.59,"7,739,250","461,168,186","3,370",61.4,6467,0,0,"39,383,508",61.4,67.5,55.3
6486,互動,78.6,-0.4,79,80,78.4,78.82,"68,263","5,380,777",63,78.6,11,78.8,3,"37,717,773",78.6,86.4,70.8
6488,環球晶,634,-17,660,660,634,641.67,"3,380,996","2,169,481,382","3,584",634,1,635,1,"437,250,000",634,697,571
6492,生華科,186,3,185,190,180.5,184.8,"979,215","180,963,574","1,019",185.5,6,186,6,"89,658,120",186,204.5,167.5
6494,九齊,57.1,0.4,56.7,57.9,56.5,57.09,"388,280","22,168,416",237,57,23,57.2,1,"31,559,690",57.1,62.8,51.4
6496,科懋,26.9,0.25,26.95,26.95,26.75,26.89,"27,178","730,744",153,26.85,1,26.9,14,"46,667,000",26.9,29.55,24.25
6499,益安,54,3.6,51.2,54.8,50.5,51.5,"121,352","6,249,453",95,53.1,2,54,2,"66,503,159",54,59.4,48.6
6506,雙邦,15.9,0,15.9,15.9,15.8,15.86,"7,422","117,732",13,15.8,8,15.85,1,"82,360,826",15.9,17.45,14.35
6508,惠光,29.6,0.2,29.45,29.6,29.4,29.41,"236,496","6,955,226",65,29.4,31,29.6,1,"85,297,029",29.6,32.55,26.65
6509,聚和,24.8,-0.25,24.9,25,24.6,24.78,"1,330,900","32,975,812",634,24.8,24,24.85,35,"173,204,101",24.8,27.25,22.35
6510,精測,900,-5,920,924,893,905.42,"509,690","461,482,506",599,899,1,900,5,"32,789,022",900,990,810
6512,啟發電,13.95,-0.25,14.1,14.2,13.95,14.06,"22,099","310,740",41,13.9,2,14.2,2,"25,000,000",13.95,15.3,12.6
6514,芮特-KY,42.95,0,43,43.05,42.9,42.99,"17,001","730,892",18,42.95,5,43.3,1,"30,015,382",42.95,47.2,38.7
6516,勤崴國際,79.8,-0.2,80,80.7,79.1,79.57,"29,052","2,311,568",33,79.3,3,79.8,3,"38,589,829",79.8,87.7,71.9
6523,達爾膚,65.1,0.4,65.2,65.5,64.7,65.19,"54,526","3,554,412",45,65.1,3,65.2,3,"45,047,625",65.1,71.6,58.6
6527,明達醫,48.65,0.6,48.45,48.85,48.45,48.62,"5,000","243,100",5,48.25,1,48.7,3,"24,276,000",48.65,53.5,43.8
6530,創威,18.3,0.15,18.15,18.3,18.15,18.22,"15,000","273,300",10,18.15,5,18.3,5,"33,750,000",18.3,20.1,16.5
6532,瑞耘,52.8,-0.3,53.6,53.6,52.5,52.85,"248,709","13,144,511",215,52.8,11,52.9,17,"36,082,350",52.8,58,47.55
6535,順藥,34.05,-0.25,34.5,34.5,33.8,34.11,"179,191","6,111,944",120,34,1,34.3,2,"147,374,825",34.05,37.45,30.65
6538,倉和,155,-1,156.5,158,153.5,155.29,"266,634","41,404,491",266,154.5,13,155.5,6,"37,269,000",155,170.5,139.5
6542,隆中,72.4,-1.9,74.5,74.5,72.2,72.78,"82,620","6,012,954",82,72.3,2,72.5,2,"42,000,630",72.4,79.6,65.2
6547,高端疫苗,148.5,13.5,137,148.5,132.5,143.25,"14,487,821","2,075,418,311","10,661",148,30,148.5,1138,"211,460,750",148.5,163,134
6548,長科*,64.8,-0.2,64.9,66.5,64.4,65.17,"3,442,452","224,345,674","1,839",64.8,17,64.9,9,"364,131,050",64.8,71.2,58.4
6556,勝品,41.9,0,41.9,41.9,41.9,41.9,"1,000","41,900",1,41.5,1,42.45,1,"28,750,000",41.9,46.05,37.75
6560,欣普羅,86,0.8,86.9,86.9,84.5,85.58,"124,330","10,639,560",103,85.9,3,86,21,"17,492,846",86,94.6,77.4
6561,是方,296.5,-2.5,299,299,296,297.08,"100,067","29,728,103",73,296.5,13,298,2,"70,245,881",296.5,326,267
6568,宏觀,138,1.5,137,139.5,137,138.73,"31,008","4,301,596",29,138,2,139,4,"25,714,100",138,151.5,124.5
